scene,frame_index,n_models,signal_var,signal_std,signal_endpoint_var,loss_mean,loss_ensmean,fail_top05,fail_top10,fail_top15,fail_top20,within_scene_pct,fail_within_scene
scene-0082,21,13,0.8536222045584339,0.9239167736102825,2.6355086153151515,0.6201442167153925,0.3558169743382215,0,0,0,0,0.5,0
scene-0082,22,13,0.45284173067572037,0.6729351608258558,1.3518531642022573,0.5988200163595006,0.48040723930991075,0,0,0,0,0.375,0
scene-0082,23,13,0.693839679668072,0.8329703954331582,2.1802787804044605,0.6093626246900083,0.5694916706624878,0,0,0,0,0.4166666666666667,0
scene-0082,24,13,5.690432718367007,2.38546278913904,18.500474486571655,1.1824276721724263,1.166091584630973,0,0,0,0,0.9166666666666666,1
scene-0083,0,13,1.0389005700637584,1.019264720307614,2.9523363825915605,1.905604439288602,1.8733751406906578,0,0,0,0,0.64,0
scene-0083,1,13,1.9253093417472738,1.3875551671004918,6.112147967520522,2.1855691046749195,2.162990844690424,0,0,0,1,0.88,1
scene-0083,2,13,2.060987643247801,1.4356140300400386,5.344958793633553,3.0769897305162166,3.0687027099969377,1,1,1,1,1.0,1
scene-0083,3,13,4.710735560952006,2.1704228991033077,11.694188833735732,2.6979908285779333,2.683840782253315,0,1,1,1,0.96,1
scene-0083,4,13,7.0613694853108955,2.657323744919105,15.767746328418081,1.9683570445620262,1.5992818965144133,0,0,0,0,0.68,0
scene-0083,5,13,7.274571211332468,2.6971413035531655,15.094785316206442,1.8635886840603482,1.0093006486332547,0,0,0,0,0.6,0
scene-0083,6,13,6.206345875981847,2.4912538762602754,13.52006358639599,1.709917425610584,0.9061742197275998,0,0,0,0,0.52,0
scene-0083,7,13,8.17141993327896,2.8585695606857215,19.685534616897165,2.169351516561333,1.4788264320602902,0,0,0,1,0.84,1
scene-0083,8,13,4.42121280336445,2.102668020245814,10.701564600177882,1.318427122245592,0.6367287618257279,0,0,0,0,0.4,0
scene-0083,9,13,1.3780873736609764,1.1739196623538497,3.2964533486532184,0.9055684516634123,0.21485443474380037,0,0,0,0,0.24,0
scene-0083,10,13,1.0297729499594164,1.014777290817752,2.209443196808024,0.948313085058026,0.3878666475579117,0,0,0,0,0.28,0
scene-0083,11,13,0.674728340781221,0.8214184930845062,1.6538005524409678,0.8182512470214652,0.5338625116003551,0,0,0,0,0.16,0
scene-0083,12,13,0.562503999497653,0.750002666327029,1.3194834069238204,1.0099645623657278,0.894681038388509,0,0,0,0,0.32,0
scene-0083,13,13,0.332077192336852,0.5762613923705561,0.8630765077994627,1.731887267115554,1.6954681884440947,0,0,0,0,0.56,0
scene-0083,14,13,0.2649307101109947,0.5147142023599065,0.7209319240122419,2.0851021565423804,2.073732141378096,0,0,0,0,0.76,0
scene-0083,15,13,0.2556398105132416,0.5056083568467215,0.6930362820514089,2.336299205285992,2.336220951892184,0,0,1,1,0.92,1
scene-0083,16,13,0.5651926193059301,0.7517929364565287,1.6629908163555613,2.152428965959911,2.1523866135264917,0,0,0,1,0.8,1
scene-0083,17,13,1.0541892957981038,1.0267372087336193,2.788131527994539,2.047123830918837,2.0470865442503383,0,0,0,0,0.72,0
scene-0083,18,13,3.2556923510630136,1.8043537211597436,9.074085683188583,1.5374660020862612,1.0694596987057072,0,0,0,0,0.48,0
scene-0083,19,13,2.4016920704271834,1.5497393556424846,6.2870611569191,1.4286858885541491,1.1636935730481495,0,0,0,0,0.44,0
scene-0083,20,13,1.6358806831230808,1.2790155132456684,4.147530016779176,1.1372622966663353,0.707235084268445,0,0,0,0,0.36,0
scene-0083,21,13,1.2594226519553398,1.122240015306592,2.9646144429420858,0.8791303459821532,0.19858495371707308,0,0,0,0,0.2,0
scene-0083,22,13,0.9668109087881489,0.9832654315026786,3.122136498952968,0.5519286965699672,0.07268129039255296,0,0,0,0,0.08,0
scene-0083,23,13,0.9498901764548352,0.974623094562629,3.0174524736571167,0.6494208343067344,0.14740169710696613,0,0,0,0,0.12,0
scene-0083,24,13,0.713665426101039,0.8447872075860519,2.2678120157314354,0.5503825332865767,0.13776578086020883,0,0,0,0,0.04,0
scene-0083,25,13,0.14165529096107826,0.3763712143098596,0.4138042099925536,0.4665021756359664,0.42712087701665014,0,0,0,0,0.0,0
scene-0084,0,13,0.8413632283041134,0.9172585395100519,2.661749381626783,2.54799379245433,2.518228339414423,0,0,1,1,1.0,1
scene-0084,1,13,1.983399504328623,1.4083321711615562,5.566294759549739,2.3470524976405036,2.3038682180959333,0,0,1,1,0.9166666666666666,1
scene-0084,2,13,1.7622018066754304,1.3274794938813295,4.958159319896901,1.985228856932276,1.9118235036366524,0,0,0,0,0.8333333333333334,1
scene-0084,3,13,1.928143397760695,1.3885760324017893,4.905772091791883,2.189808519047049,2.052251848955854,0,0,0,1,0.875,1
scene-0084,4,13,5.8741049209485325,2.4236552809647938,18.515404920495968,2.4846922911312714,2.1090222977659527,0,0,1,1,0.9583333333333334,1
scene-0084,5,13,4.4728588612052755,2.1149134405940293,17.0095165962021,1.7294458176528593,0.9642899315207583,0,0,0,0,0.75,0
scene-0084,6,13,3.424363431812632,1.8505035616860164,13.215762103985034,1.8631758154562934,1.4235728004572878,0,0,0,0,0.7916666666666666,0
scene-0084,7,13,1.3997983546418604,1.1831307428352373,5.083340404809821,1.6537069366157182,1.4806390920079153,0,0,0,0,0.7083333333333334,0
scene-0084,8,13,2.082880076457765,1.4432186516456074,7.85278434948864,1.3155008609353105,0.8758470565273763,0,0,0,0,0.625,0
scene-0084,9,13,1.9561541397819873,1.3986258040598234,6.2959539090505245,0.9877007767129412,0.3192661761025854,0,0,0,0,0.5416666666666666,0
scene-0084,10,13,3.9613324142630493,1.990309627737114,13.52929510069515,1.2131671250103258,0.5079271559278652,0,0,0,0,0.5833333333333334,0
scene-0084,11,13,0.4623182220315787,0.6799398664820138,1.5966072416010786,0.7054852834435461,0.5838975584903436,0,0,0,0,0.3333333333333333,0
scene-0084,12,13,0.3120706886403675,0.5586328746505772,1.180437285429466,0.5212282239802275,0.3522256162486686,0,0,0,0,0.08333333333333333,0
